combined_fips,votes_dem_2020,votes_gop_2020,total_votes_2020,per_dem_2020,per_gop_2020,diff_2020,per_point_diff_2020,votes_dem_2016,votes_gop_2016,total_votes_2016,per_dem_2016,per_gop_2016,diff_2016,per_point_diff_2016,county_name,total_votes_2012,votes_dem_2012,votes_gop_2012,per_dem_2012,per_gop_2012,diff_2012,per_point_diff_2012
12069,83505,125859,211314,0.395170221,0.595601806,42354,0.200431585,62597,101888,169898,0.36843871,0.599700997,39291,-0.231262287,Lake County,150796,61790,87637,0.40975888,0.58116263,25847,-0.171403751
12071,157695,233247,393899,0.400343743,0.592149257,75552,0.191805514,124725,191141,325797,0.382830413,0.586687416,66416,-0.203857003,Lee County,266034,110080,154112,0.413781697,0.579294376,44032,-0.165512679
12073,103517,57453,162929,0.635350367,0.35262599,46064,0.282724377,91936,53777,151925,0.605140694,0.353970709,38159,0.251169985,Leon County,148335,90863,55806,0.612552668,0.376215998,35057,0.23633667
12075,6205,16749,23145,0.268092461,0.723655217,10544,0.455562757,5091,13758,19367,0.26286983,0.710383642,8667,-0.447513812,Levy County,18396,6118,12052,0.332572298,0.655142422,5934,-0.322570124
12077,694,2846,3561,0.194889076,0.799213704,2152,0.604324628,651,2542,3295,0.197572079,0.771471927,1891,-0.573899848,Liberty County,3284,942,2301,0.286845311,0.700669915,1359,-0.413824604
12079,3747,5576,9380,0.399466951,0.59445629,1829,0.194989339,3526,4849,8503,0.414677173,0.570269317,1323,-0.155592144,Madison County,8712,4174,4474,0.479109275,0.513544536,300,-0.034435262
12081,90166,124987,216958,0.415591958,0.57608846,34821,0.160496502,71066,101681,178521,0.398082018,0.569574448,30615,-0.171492429,Manatee County,153451,66476,85616,0.433206691,0.557937061,19140,-0.12473037
12083,74858,127826,204376,0.366275884,0.625445258,52968,0.259169374,61958,107710,174485,0.355090695,0.617302347,45752,-0.262211651,Marion County,161368,66823,93036,0.414103168,0.576545536,26213,-0.162442368
12085,36893,61168,98726,0.373690821,0.619573365,24275,0.245882544,30158,53182,85741,0.35173371,0.620263351,23024,-0.268529642,Martin County,78860,30097,48180,0.381651027,0.610956125,18083,-0.229305098
12086,617864,532833,1156816,0.534107412,0.460603069,85031,0.073504343,623006,333666,978670,0.636584344,0.340938212,289340,0.295646132,Miami-Dade County,877245,540776,332602,0.616448085,0.379143797,208174,0.237304288
12087,21881,25693,48029,0.455578921,0.534947636,3812,0.079368715,18949,21885,42434,0.446552293,0.515742094,2936,-0.069189801,Monroe County,39045,19392,19234,0.496657703,0.49261109,158,0.004046613
12089,15564,42566,58811,0.264644369,0.723776164,27002,0.459131795,10849,34221,46537,0.23312633,0.735350366,23372,-0.502224037,Nassau County,40523,10249,29926,0.252918096,0.738494188,19677,-0.485576093
12091,34248,79798,116373,0.294295068,0.685708884,45550,0.391413816,23711,71788,100657,0.235562355,0.713194313,48077,-0.477631958,Okaloosa County,94739,23390,70143,0.246888821,0.740381469,46753,-0.493492648
12093,4390,11470,15954,0.275166103,0.718941958,7080,0.443775856,3953,9342,13632,0.28997946,0.685299296,5389,-0.395319836,Okeechobee County,12321,4856,7325,0.394123854,0.594513432,2469,-0.200389579
12095,395014,245398,647403,0.610151637,0.379049834,149616,0.231101802,329579,195091,545800,0.603845731,0.357440454,134488,0.246405277,Orange County,467385,274227,189057,0.586726147,0.404499503,85170,0.182226644
12097,97297,73480,172436,0.564249925,0.426129115,23817,0.13812081,85287,50252,139981,0.609275545,0.358991577,35035,0.250283967,Osceola County,108647,67201,40581,0.618526052,0.373512384,26620,0.245013668
12099,433572,334711,773158,0.560780591,0.4329141,98861,0.12786649,371411,270762,657235,0.565111414,0.411971365,100649,0.153140049,Palm Beach County,600341,349418,247257,0.582032545,0.411860926,102161,0.170171619
12101,119073,179621,301970,0.394320628,0.594830612,60548,0.200509984,89998,141943,240814,0.373724119,0.589430017,51945,-0.215705897,Pasco County,213358,98148,112335,0.460015561,0.526509435,14187,-0.066493874
12103,277450,276209,559715,0.495698704,0.493481504,1241,0.0022172,233327,238746,491520,0.474704997,0.48572998,5419,-0.011024984,Pinellas County,457484,238966,213192,0.522348323,0.46600974,25774,0.056338582
